(04/03/2022 00:24:03 | ParseStudents) File does not exist: Data\dane.csv
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s459: Paweł Nowak1, Informatyka magisterskie 4 sem, Dzienne,02/12/2000 00:00:00, 1@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s459: Paweł Nowak1, Informatyka doktoranckie, Dzienne,02/12/2000 00:00:00, 1@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4749: Justyna Kowalski30, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 30@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4432: Michał Nowak31, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 31@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4799: Joanna Brzęczyszczykiewicz37, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 37@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4626: Irena Maciejewski38, Sztuka Nowych Mediów zaoczne, Zaoczne,02/12/2000 00:00:00, 38@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4396: Kacper Kowalski40, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 40@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4902: Paweł Nowak41, Sztuka Nowych Mediów zaoczne, Zaoczne,02/12/2000 00:00:00, 41@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4434: Aleksandra Brzęczyszczykiewicz42, Sztuka Nowych Mediów zaoczne 6 sem., Zaoczne,02/12/2000 00:00:00, 42@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4842: Jan Nowak46, Sztuka Nowych Mediów zaoczne 6 sem., Zaoczne,02/12/2000 00:00:00, 46@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4789: Jakub Jankowski49, Sztuka Nowych Mediów zaoczne, Zaoczne,02/12/2000 00:00:00, 49@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4513: Sabina Brzęczyszczykiewicz52, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 52@pjwstk.edu.pl, Alina, Adam
(04/03/2022 00:29:05 | Program) Duplicate Warning: Student s4649: Jan Nowak56, Sztuka Nowych Mediów uzupełniające magisterskie, Dzienne,02/12/2000 00:00:00, 56@pjwstk.edu.pl, Alina, Adam
